,game_id,review_id,author,voted_up,language
30,1433320,101520583,"{'steamid': '76561198035599199', 'num_games_owned': 1847, 'num_reviews': 452, 'playtime_forever': 48, 'playtime_last_two_weeks': 0, 'playtime_at_review': 48, 'last_played': 1635028591}",True,english
31,1433320,90560786,"{'steamid': '76561199074233896', 'num_games_owned': 1, 'num_reviews': 1, 'playtime_forever': 125, 'playtime_last_two_weeks': 0, 'playtime_at_review': 125, 'last_played': 1618804497}",True,english
32,1433320,90232091,"{'steamid': '76561198079518111', 'num_games_owned': 207, 'num_reviews': 8, 'playtime_forever': 34, 'playtime_last_two_weeks': 0, 'playtime_at_review': 34, 'last_played': 1618303285}",True,english
33,1433320,88178219,"{'steamid': '76561197992321750', 'num_games_owned': 629, 'num_reviews': 19, 'playtime_forever': 44, 'playtime_last_two_weeks': 0, 'playtime_at_review': 44, 'last_played': 1615367984}",True,english
34,1433320,88003948,"{'steamid': '76561198036188082', 'num_games_owned': 436, 'num_reviews': 19, 'playtime_forever': 99, 'playtime_last_two_weeks': 0, 'playtime_at_review': 83, 'last_played': 1619492499}",True,english
35,1433320,86248453,"{'steamid': '76561198079112356', 'num_games_owned': 178, 'num_reviews': 27, 'playtime_forever': 31, 'playtime_last_two_weeks': 0, 'playtime_at_review': 31, 'last_played': 1608353315}",True,english
36,1433320,83323360,"{'steamid': '76561198039836704', 'num_games_owned': 66, 'num_reviews': 3, 'playtime_forever': 33, 'playtime_last_two_weeks': 0, 'playtime_at_review': 33, 'last_played': 1609097462}",True,english
37,1433320,78741225,"{'steamid': '76561199102215509', 'num_games_owned': 0, 'num_reviews': 1, 'playtime_forever': 35, 'playtime_last_two_weeks': 0, 'playtime_at_review': 35, 'last_played': 1604544349}",True,english
38,1433320,78625810,"{'steamid': '76561198113230492', 'num_games_owned': 107, 'num_reviews': 2, 'playtime_forever': 61, 'playtime_last_two_weeks': 0, 'playtime_at_review': 51, 'last_played': 1622685250}",True,english
39,1433320,78499036,"{'steamid': '76561199102931919', 'num_games_owned': 0, 'num_reviews': 2, 'playtime_forever': 25, 'playtime_last_two_weeks': 0, 'playtime_at_review': 25, 'last_played': 1604196867}",True,english
40,1433320,78355670,"{'steamid': '76561198055077516', 'num_games_owned': 297, 'num_reviews': 12, 'playtime_forever': 61, 'playtime_last_two_weeks': 0, 'playtime_at_review': 23, 'last_played': 1646447091}",True,english
41,1433340,129961289,"{'steamid': '76561198087491513', 'num_games_owned': 198, 'num_reviews': 22, 'playtime_forever': 898, 'playtime_last_two_weeks': 0, 'playtime_at_review': 898, 'last_played': 1672439016}",True,english
42,1433340,133015636,"{'steamid': '76561198116681282', 'num_games_owned': 335, 'num_reviews': 33, 'playtime_forever': 490, 'playtime_last_two_weeks': 6, 'playtime_at_review': 484, 'last_played': 1678502312}",True,english
43,1433340,131294960,"{'steamid': '76561199046799937', 'num_games_owned': 79, 'num_reviews': 17, 'playtime_forever': 401, 'playtime_last_two_weeks': 0, 'playtime_at_review': 200, 'last_played': 1674580889}",True,english
44,1433340,128813378,"{'steamid': '76561198117543743', 'num_games_owned': 19, 'num_reviews': 2, 'playtime_forever': 489, 'playtime_last_two_weeks': 0, 'playtime_at_review': 447, 'last_played': 1671412366}",True,english
45,1433340,132146262,"{'steamid': '76561198040745305', 'num_games_owned': 389, 'num_reviews': 302, 'playtime_forever': 368, 'playtime_last_two_weeks': 0, 'playtime_at_review': 368, 'last_played': 1675457076}",True,english
46,1433340,133317651,"{'steamid': '76561199167244693', 'num_games_owned': 20, 'num_reviews': 5, 'playtime_forever': 3293, 'playtime_last_two_weeks': 589, 'playtime_at_review': 1946, 'last_played': 1678664559}",True,english
47,1433340,129270149,"{'steamid': '76561198873468428', 'num_games_owned': 30, 'num_reviews': 5, 'playtime_forever': 815, 'playtime_last_two_weeks': 0, 'playtime_at_review': 575, 'last_played': 1673123496}",True,english
48,1433340,130935408,"{'steamid': '76561199225500997', 'num_games_owned': 40, 'num_reviews': 15, 'playtime_forever': 809, 'playtime_last_two_weeks': 0, 'playtime_at_review': 727, 'last_played': 1675487837}",True,english
49,1433340,128675264,"{'steamid': '76561198239684760', 'num_games_owned': 75, 'num_reviews': 33, 'playtime_forever': 259, 'playtime_last_two_weeks': 0, 'playtime_at_review': 182, 'last_played': 1677105191}",True,english
50,1433340,131012019,"{'steamid': '76561198151227799', 'num_games_owned': 207, 'num_reviews': 10, 'playtime_forever': 662, 'playtime_last_two_weeks': 0, 'playtime_at_review': 662, 'last_played': 1647751239}",True,english
51,1433390,84710175,"{'steamid': '76561198058828079', 'num_games_owned': 933, 'num_reviews': 45, 'playtime_forever': 69, 'playtime_last_two_weeks': 0, 'playtime_at_review': 69, 'last_played': 1610688195}",True,english
52,1433420,130766062,"{'steamid': '76561198097261278', 'num_games_owned': 1911, 'num_reviews': 445, 'playtime_forever': 222, 'playtime_last_two_weeks': 0, 'playtime_at_review': 222, 'last_played': 1672989603}",True,english
53,1433420,131055761,"{'steamid': '76561198121306213', 'num_games_owned': 661, 'num_reviews': 56, 'playtime_forever': 205, 'playtime_last_two_weeks': 0, 'playtime_at_review': 205, 'last_played': 1673994376}",True,english
54,1433420,130818298,"{'steamid': '76561198322697862', 'num_games_owned': 13, 'num_reviews': 12, 'playtime_forever': 330, 'playtime_last_two_weeks': 0, 'playtime_at_review': 305, 'last_played': 1673771592}",True,english
